[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48,0]
[1][3,(0, 1),0,E,1,47,1]
[3][4,(0, 2),1,E,2,46,2]
[8][5,(0, 3),3,E,3,45,3]
[16][7,(0, 4),8,E,4,44,4]
[27][11,(1, 4),16,S,5,43,5]
[42][12,(1, 5),27,E,6,42,6]
[56][13,(1, 6),42,E,7,41,7]
[74][14,(1, 7),56,E,8,40,8]
[95][17,(1, 8),74,E,9,39,9]
[120][18,(2, 8),95,S,10,38,10]
[149][22,(2, 9),120,E,11,37,11]
[177][25,(2, 10),149,E,12,36,12]
[208][28,(2, 11),177,E,13,35,13]
[245][31,(2, 12),208,E,14,34,14]
[285][34,(2, 13),245,E,15,33,15]
[328][35,(2, 14),285,E,16,32,16]
[381][39,(2, 15),328,E,17,31,17]
[434][40,(2, 16),381,E,18,30,18]
[485][43,(3, 16),434,S,19,29,19]
[542][45,(3, 17),485,E,20,28,20]
[601][46,(4, 17),542,S,21,27,21]
[663][49,(4, 18),601,E,22,26,22]
[726][51,(4, 19),663,E,23,25,23]
[793][54,(4, 20),726,E,24,24,24]
[867][55,(4, 21),793,E,25,23,25]
[948][56,(5, 21),867,S,26,22,26]
[1028][59,(6, 21),948,S,27,21,27]
[1109][60,(7, 21),1028,S,28,20,28]
[1194][63,(8, 21),1109,S,29,19,29]
[1278][66,(9, 21),1194,S,30,18,30]
[1356][67,(10, 21),1278,S,31,17,31]
[1427][68,(11, 21),1356,S,32,16,32]
[1486][69,(12, 21),1427,S,33,15,33]
[1535][71,(13, 21),1486,S,34,14,34]
[1588][72,(14, 21),1535,S,35,13,35]
[1640][73,(15, 21),1588,S,36,12,36]
[1683][75,(15, 22),1640,E,37,11,37]
[1717][78,(16, 22),1683,S,38,10,38]
[1751][79,(16, 23),1717,E,39,9,39]
[1787][82,(16, 24),1751,E,40,8,40]
[1821][83,(17, 24),1787,S,41,7,41]
[1849][84,(18, 24),1821,S,42,6,42]
[1873][87,(19, 24),1849,S,43,5,43]
[1899][89,(20, 24),1873,S,44,4,44]
[1918][90,(21, 24),1899,S,45,3,45]
[1933][94,(22, 24),1918,S,46,2,46]
[1946][95,(23, 24),1933,S,47,1,47]
[1956][96,(24, 24),1946,S,48,0,48]
